line_nr,screen_nr,line_nr_on_screen,text
"241","25","2","»Laß mich raus!« schrie ich wütend. »Solchen Schabernack lasse ich nicht mit mir treiben.« "
"242","25","3","»Schabernack ist gut«, sagte er mit einem neuerlichen verhaßten Kichern. Und dann, plötzlich, hörte ich im Dröhnen des Sturms"
"243","25","4","das Kreischen und Quietschen der Kurbel und das Knarren des Gitters, als es durch den Schlitz gedreht wurde. Großer Gott: Er"
"244","25","5","ließ die brasilianische Katze los! "
"245","25","6","Im Schein der Laterne sah ich die Gitterstäbe langsam vor mir verschwinden. Schon war die Öffnung am anderen Ende einen"
"246","25","7","Fuß breit. Mit einem Schrei packte ich die letzte Stange und zog mit der Kraft eines Wahnsinnigen. Ich war wahnsinnig vor Wut"
"247","25","8","und Entsetzen. Eine Minute lang vielleicht hielt ich das Ding fest. Ich wußte, daß er mit aller Gewalt am Griff drehte und daß ich"
"248","25","9","der Hebelwirkung unterliegen mußte. Zoll für Zoll gab ich nach, meine Füße rutschten über die Steine, und die ganze Zeit bat und"
"249","25","10","bettelte ich, das unmenschliche Scheusal möge mir diesen grauenhaften Tod ersparen. Ich beschwor ihn bei unsrer"
"250","26","1","Blutsverwandtschaft. Ich erinnerte ihn daran, daß ich sein Gast war. Ich bat ihn inständig, mir zu sagen, was ich ihm getan hätte."
"251","26","2","Seine Antwort bestand im mühevollen Drehen der Kurbel, und jede Drehung zog trotz all meiner Anstrengungen eine weitere"
"252","26","3","Stange durch die Öffnung. Zerrend und ziehend wurde ich die ganze Vorderseite des Käfigs entlanggeschleift, bis ich endlich, mit"
"253","26","4","schmerzenden Handgelenken und verkrampften Fingern, den hoffnungslosen Kampf aufgab. Das Gitter schlug an die Wand, als"
"254","26","5","ich es losließ, und einen Augenblick später hörte ich das Schlurfen der türkischen Pantoffeln im Gang und das Schlagen der"
"255","26","6","zweiten Tür. Dann war alles still. "
"256","26","7","Das Tier hatte sich die ganze Zeit nicht bewegt. Es lag reglos in der Ecke, und sein Schwanz hatte aufgehört, hin und her zu"
"257","26","8","schnellen. Diese Erscheinung eines Mannes, der sich an die Gitterstäbe klammerte und schreiend an ihm vorübergezerrt wurde,"
"258","26","9","hatte es offensichtlich verwundert und verwirrt. Ich sah, wie seine großen Augen mich stetig anstarrten. Ich hatte die Laterne"
"259","26","10","fallen lassen, als ich die Stäbe packte, aber sie brannte noch auf dem Boden, und ich machte eine Bewegung, um sie"
"260","27","1","aufzuheben — mit der Überlegung, daß ihr Licht mir Schutz gewähren könne. In dem Augenblick jedoch, da ich mich bewegte,"
"261","27","2","stieß das Tier ein tiefes, drohendes Knurren aus. Ich hielt inne und stand still, vor Angst am ganzen Körper zitternd. Die Katze"
"262","27","3","(falls man eine derart fürchterliche Bestie mit einem so zutraulichen Namen bezeichnen kann) war kaum zehn Fuß von mir"
"263","27","4","entfernt. Die Augen schimmerten wie zwei Phosphorscheiben in der Dunkelheit. Sie stießen mich ab — und faszinierten mich"
"264","27","5","gleichzeitig. Ich konnte meinen Blick nicht von ihnen wenden. In solchen Augenblicken der Intensität spielt die Natur uns"
"265","27","6","seltsame Streiche, und diese leuchtenden Lichter flammten auf und erloschen wieder in stetem Wechsel. Manchmal schienen sie"
"266","27","7","winzige Pünktchen extremer Helligkeit zu sein — kleine elektrische Funken in der schwarzen Düsternis —, dann weiteten sie sich"
"267","27","8","mehr und mehr, bis der ganze Winkel des Raumes dort mit ihrem wechselnden und unheimlichen Licht erfüllt war. Und plötzlich"
"268","27","9","ging’s dann gänzlich aus. "
"269","27","10","Das Tier hatte seine Augen geschlossen. Ich weiß nicht, ob an der alten Idee von der Vorherrschaft des menschlichen Blicks"
"270","28","1","etwas Wahres ist oder ob die gewaltige Katze nur schläfrig war, indessen bleibt die Tatsache bestehen, daß sie nicht die"
"271","28","2","mindeste Neigung zeigte, mich anzugreifen, sondern nur den glatten schwarzen Kopf auf seine riesigen Vorderpfoten legte und"
"272","28","3","einzuschlafen schien. Ich blieb starr stehen, aus Angst, sie durch irgendeine Bewegung wieder zu bösartigem Leben zu bringen."
"273","28","4","Aber ich war jetzt endlich fähig, klar zu denken, weil die unheilvollen Augen nicht mehr auf mich gerichtet waren. Hier steckte ich"
"274","28","5","also, die ganze Nacht mit dem blutdurstigen Biest zusammen eingesperrt. Mein Instinkt sagte mir — auch ohne die Worte des"
"275","28","6","gleisnerischen Schurken, der mich in diese Falle gelockt hatte —, daß das Tier ebenso grausam war wie sein Herr. Wie konnte"
"276","28","7","ich’s bis zum Morgen abwehren? Die Tür war hoffnungslos. Desgleichen die schmalen vergitterten Fenster. In dem ganzen"
"277","28","8","kahlen, mit Fliesen ausgelegten Raum gab es keinen Unterschlupf. Um Hilfe zu rufen, war absurd. Ich wußte, daß diese Höhle ein"
"278","28","9","Nebengebäude war und daß der Gang, der es mit dem Haus verband, mindestens hundert Fuß lang sein mußte. Außerdem"
"279","28","10","würde man bei diesem Sturm mein Rufen kaum hören. Ich konnte mich nur auf meinen Mut und meine Findigkeit verlassen."
"280","29","1","Und dann fielen meine Augen mit neuerlichem Entsetzen auf die Laterne. Die Kerze war niedergebrannt und begann bereits zu"
"281","29","2","zerfließen. In zehn Minuten würde sie erloschen sein. Ich hatte also nur zehn Minuten, in denen ich etwas unternehmen konnte,"
"282","29","3","denn ich spürte, daß ich, sobald ich mit der Bestie allein im Dunkeln war, zu jeder Handlung unfähig sein würde. Schon der"
"283","29","4","Gedanke paralysierte mich. Verzweifelt ließ ich meine Augen in dieser Todeskammer umherschweifen, und sie blieben an einem"
"284","29","5","Punkt hängen, der nicht gerade Sicherheit zu versprechen schien, doch weniger unmittelbare und drohende Gefahr als der"
"285","29","6","blanke Boden. "
"286","29","7","Ich sagte schon, daß der Käfig ein Oberteil wie auch ein Vorderteil hatte, und dieses Oberteil blieb an Ort und Stelle, wenn das"
"287","29","8","Vorderteil durch den Schlitz in der Wand gedreht wurde. Es bestand aus Stäben im Abstand von wenigen Zoll, mit festem"
"288","29","9","Maschendraht dazwischen, und ruhte an jedem Ende auf starken Pfosten. Das Ganze stand wie ein großer Baldachin über der"
"289","29","10","geduckten Gestalt in der Ecke. Der Abstand zwischen diesem eisernen Sims und der Decke mochte zwei oder drei Fuß betragen."
"290","30","1","Wenn ich dort hinauf gelangen konnte, hatte ich, zwischen Gitter und Decke eingeklemmt, nur eine verwundbare Seite. Ich war"
"291","30","2","von unten sicher, von oben, von hinten und von beiden Seiten. Nur von vorn konnte ich angegriffen werden. Dort hatte ich zwar"
"292","30","3","keinerlei Schutz, das stimmte schon, doch würde ich zumindest dem Tier nicht im Wege sein, wenn es in seiner Höhle"
"293","30","4",""umherstrich. Es mußte sich zu mir bemühen, wenn es etwas von mir wollte. Jetzt oder nie, hieß es"," denn war erst einmal das""
"294","30","5","Licht aus, ging es nicht mehr. Mit einem Schlucken in der Kehle sprang ich hinzu, packte die Eisenkante des Oberteils und"
"295","30","6","schwang mich keuchend hinauf. Ich schob mich hinein, mit dem Gesicht nach unten, und stellte fest, daß ich geradeswegs in die"
"296","30","7","schrecklichen Augen und den gähnenden Rachen der Katze blickte. Ihr stinkender Atem kam mir ins Gesicht wie der Dampf aus"
"297","30","8","einem fauligen Kessel. "
"298","30","9","Indessen schien sie mehr neugierig als wütend zu sein. Mit einem geschmeidigen Wogen ihres langen schwarzen Rückens erhob"
"299","30","10","sie sich, reckte sich und stellte sich dann auf die Hinterläufe, stützte sich mit einer Vorderpfote an die Wand, hob die andere und"
"300","31","1","zog ihre Krallen unter dem Maschendraht her. Ein spitzer weißer Haken zerriß meine Hose — denn ich darf erwähnen, daß ich"
"301","31","2","noch im Abendanzug war — und grub mir eine Wunde ins Knie. Das war nicht als Angriff gemeint, sondern eher als Experiment,"
"302","31","3","denn als ich einen Schmerzensschrei ausstieß, ließ sie sich nieder, sprang leichtfüßig in den offnen Raum und wanderte behend"
"303","31","4","umher, wobei sie ab und zu in meine Richtung schaute. Ich für mein Teil verkroch mich mühsam nach hinten, bis ich mit dem"
"304","31","5","Rücken zur Mauer lag, und machte mich so klein wie möglich. Je weiter weg ich kam, desto schwieriger war’s der Bestie, mich"
"305","31","6","anzugreifen. "
"306","31","7","Jetzt, da sie umherstreifte, schien sie erregt zu werden, und leichtfüßig und lautlos lief sie in der Höhle umher, wobei sie ständig"
"307","31","8","unter dem eisernen Lager durchkam, auf dem ich lag. Es war wunderbar, einen so gewaltigen Körper wie einen Schatten"
"308","31","9","vorüberhuschen zu sehen, denn die Samtpfoten machten kaum einen Laut. Die Kerze war niedergebrannt, so daß ich das Tier"
"309","31","10","fast nicht mehr sehen konnte. Und mit einem letzten Aufflackern und Spritzen erlosch sie gänzlich. Ich war mit der Katze im"
"310","32","1","Dunkeln allein! "
"311","32","2","Es hilft einem, einer Gefahr ins Auge zu blicken, wenn man weiß, daß man alles Menschenmögliche getan hat. Dann gibt es"
"312","32","3","nichts, als das Ergebnis in Ruhe abzuwarten. In diesem Fall gab es keine Möglichkeit der Sicherheit außer genau der Stelle, an"
"313","32","4","der ich mich befand. Ich streckte mich aus und lag still, fast ohne zu atmen, und hoffte, die Bestie werde meine Anwesenheit"
"314","32","5","vergessen, wenn ich sie nicht an mich erinnerte. Ich schätzte, daß es bereits zwei Uhr sein mußte. Um vier würde es hell sein. Ich"
"315","32","6","brauchte also nur noch zwei Stunden aufs Tageslicht zu warten. "
"316","32","7","Draußen wütete noch immer der Sturm, und der Regen schlug unablässig an die kleinen Fenster. Drinnen war die giftige und"
"317","32","8","stinkende Luft atemraubend. Die Katze konnte ich weder sehen noch hören. Ich versuchte, an andere Dinge zu denken — doch"
"318","32","9","war nur ein Gedanke stark genug, mich von meiner scheußlichen Lage abzulenken. Das war die Schurkerei meines Vetters,"
"319","32","10","seine beispiellose Heuchelei, sein boshafter Haß auf mich. Unter diesem fröhlichen Gesicht lauerte der Geist eines"
"320","33","1","mittelalterlichen Mörders. Und wie ich daran dachte, sah ich deutlich, wie schlau das Ganze angelegt war. Offensichtlich war er"
"321","33","2","mit den anderen zu Bett gegangen. Zweifellos hatte er dafür seine Zeugen. Dann war er, ohne daß sie es merkten, heimlich"
"322","33","3","heruntergeschlichen, hatte mich in diese Höhle gelockt und meinem Schicksal überlassen. Seine Erklärung würde ganz einfach"
"323","33","4","sein. Er hatte mich im Billard-Raum zurückgelassen, weil ich meine Zigarre zu Ende rauchen wollte. Ich war aus eigenem Antrieb"
"324","33","5","hergekommen, um mir die Katze ein letztes Mal anzusehen. Ich hatte den Raum betreten, ohne zu merken, daß der Käfig"
"325","33","6","geöffnet war, und die Bestie hatte mich zerfleischt. Wie konnte man ihm ein solches Verbrechen nachweisen? Verdacht —"
"326","33","7","vielleicht. Aber Beweis — niemals! "
"327","33","8","Wie langsam diese beiden furchtbaren Stunden verstrichen! Einmal hörte ich ein leises, kratzendes Geräusch. Das mußte die"
"328","33","9","Katze sein, die sich das Fell leckte. Etliche Male leuchteten ihre grünlich-gelben Augen zu mir herauf, doch nie zielbewußt, und"
"329","33","10","meine Hoffnung wuchs, daß sie meine Anwesenheit ignorierte oder gar vergessen hatte. Endlich kam ein fahler Lichtschein durch"
"330","34","1","die Fenster — wie zwei matte Rechtecke sah ich sie auf der schwarzen Wand. Dann wurde das Grau zu Weiß, und ich konnte"
"331","34","2","meinen furchterregenden Gefährten wieder sehen. Und er, natürlich, sah mich! "
"332","34","3","Es war mir sogleich klar, daß er in viel gefährlicherer und angriffslustigerer Stimmung war als in der Nacht. Die Morgenkälte hatte"
"333","34","4","ihn gereizt, und darüber hinaus war er hungrig. Mit einem ununterbrochenen Knurren wanderte er auf der meinem Zufluchtsort"
"334","34","5",""gegenüberliegenden Seite des Raumes hin und her"," seine Schnurrhaare sträubten sich zornig, und sein Schwanz schlug und""
"335","34","6","peitschte. Jedes Mal, wenn er in einer Ecke kehrtmachte, blickten seine wilden Augen drohend zu mir herauf. Da wußte ich, daß"
"336","34","7","er vorhatte, mich zu zerfleischen. Und doch bewunderte ich sogar in diesem Augenblick die schlanke Grazie der teuflischen"
"337","34","8","Bestie, ihre langen, weichen, welligen Bewegungen, den Glanz ihrer schönen Flanken, das lebhaft zuckende Scharlach der"
"338","34","9","schimmernden Zunge, die ihr aus dem schwarz-glänzenden Maule hing. Und die ganze Zeit stieg das tiefe, drohende Knurren in"
"339","34","10","ungebrochenem Crescendo an. Ich wußte, daß die Krisis unmittelbar bevorstand. "
"340","35","1","Es war ein elender Zeitpunkt, einen solchen Tod zu erleiden: So kalt, so unbehaglich, und ich zitterte in meinem leichten Anzug"
"341","35","2","auf diesem Marter-Rost, auf dem ich ausgestreckt lag. Ich versuchte, mich darauf vorzubereiten, meine Seele darüber zu"
"342","35","3","erheben — und gleichzeitig hielt ich Ausschau nach einer Fluchtmöglichkeit: mit der Hellsichtigkeit, die einem im Augenblick"
"343","35","4","höchster Verzweiflung gegeben ist. Eins war mir klar. Wenn nur das Vorderteil des Käfigs wieder geschlossen war, konnte ich"
"344","35","5","Sicherheit dahinter finden. Würde ich das Gitter möglicherweise herausziehen können? Ich wagte kaum, mich zu bewegen, um"
"345","35","6","mir die Bestie nicht auf den Hals zu locken. Langsam, ganz langsam streckte ich meine Hand aus, bis sie die Außenkante des"
"346","35","7","Vorderteils erreichte, die letzte Stange, die aus der Wand herausragte. Zu meiner Überraschung ließ sie sich verhältnismäßig"
"347","35","8","leicht hervorziehen. Ich zerrte weiter, und drei Zoll des Gitters kamen aus der Öffnung. Offensichtlich lief es auf Rädern. Wieder"
"348","35","9","zog ich — da sprang die Katze! "
"349","35","10","Es geschah so schnell, so plötzlich, daß ich’s überhaupt nicht sah. Ich hörte nur das wütende Knurren, und unmittelbar darauf"
"350","36","1","waren die leuchtenden gelben Augen und der schwarze Kopf mit seiner roten Zunge und den blitzenden Zähnen genau vor mir."
"351","36","2","Der Ansprung des Tiers erschütterte die Stangen, auf denen ich lag, bis ich dachte (soweit ich in diesem Moment überhaupt"
"352","36","3",""denken konnte), daß sie niederbrechen würden. Einen Augenblick lang schaukelte die Katze dort"," Kopf und Vorderpfoten waren""
"353","36","4","mir ganz nahe, und die Hinterpfoten versuchten verzweifelt, an der Kante des Käfigs einen Halt zu finden. Ich hörte das Kratzen"
"354","36","5","der Krallen am Draht, und vom Atem der Bestie wurde mir übel. Aber ihr Sprung war falsch berechnet. Sie konnte sich nicht"
"355","36","6","halten. Langsam, vor Wut grunzend und wie wild an den Stäben kratzend, rutschte sie nach hinten und schlug schwer auf dem"
"356","36","7","Boden auf. Sogleich wandte sie sich mir knurrend zu und setzte zu einem neuen Sprunge an. "
"357","36","8","Ich wußte, daß die nächsten Sekunden mein Geschick entscheiden würden. Das Tier hatte Erfahrung gesammelt. Es würde sich"
"358","36","9","nicht noch einmal verrechnen. Ich mußte sofort handeln, furchtlos, dann konnte ich mich vielleicht noch retten. Augenblicks hatte"
"359","36","10","ich einen Plan. Ich zog mein Jackett aus und warfs der Bestie über den Kopf. Im gleichen Augenblick sprang ich hinab, packte"
"360","37","1","das Ende des Vordergitters und zog’s wie besessen aus der Wand. "
"361","37","2","Es kam leichter heraus, als ich erwartet hatte. Ich lief durch den Raum und zerrte es hinter mir her, aber in der Eile geriet ich aus"
"362","37","3","Versehen auf die falsche Seite. Andernfalls wäre ich vielleicht ohne Schaden davongekommen. So aber entstand eine kurze"
"363","37","4","Pause, als ich es anhielt und versuchte, durch die schmale Öffnung zu schlüpfen, die ich gelassen hatte. Dieser Augenblick ließ"
"364","37","5","der Bestie Zeit, den Rock abzuschütteln, mit dem ich sie geblendet hatte, und mich anzuspringen. Ich warf mich durch den Spalt"
"365","37","6","und zog das Gitter hinter mir zu, doch ehe ich ganz im Käfig war, erwischte sie mein Bein. Ein Schlag dieser gewaltigen Pranke"
"366","37","7","riß mir die Wade ab, wie ein Holzspan vom Hobel fällt. Im nächsten Augenblick lag ich blutend und halb bewußtlos auf dem"
"367","37","8","fauligen Stroh und hatte eine Reihe freundlicher Gitterstäbe zwischen mir und der Katze, die wütend gegen sie anrannte. "
"368","37","9","Ich war zu verletzt, um mich zu bewegen, und zu schwach, um Angst zu verspüren, also lag ich nur da, mehr tot als lebendig, und"
"369","37","10","beobachtete sie. Sie preßte ihre breite schwarze Brust an die Stäbe und angelte mit gespreizten Krallen nach mir, wie ich’s ein"
"370","38","1","Kätzchen vor einer Mausefalle habe tun sehen. Sie zerriß mir die Kleider, konnte mich trotz allen Reckens aber nicht ganz"
"371","38","2","erreichen. Ich hatte von der merkwürdigen taubmachenden Wirkung gehört, die Wunden von großen Fleischfressern haben"
"372","38","3","sollen, und nun war es mir bestimmt, sie zu verspüren, denn ich hatte jedes Gefühl des persönlichen Betroffenseins verloren und"
"373","38","4","war an Erfolg oder Mißerfolg interessiert, als beobachtete ich irgendein Spiel. Und dann schwanden mir langsam die Sinne,"
"374","38","5","trieben in seltsam vage Träume ab, in die immer wieder das schwarze Gesicht und die rote Zunge einbrachen, und ich verlor"
"375","38","6","mich im Nirwana des Deliriums, die gesegnete Zuflucht der allzu Überforderten. "
"376","38","7","Wenn ich den Verlauf der Ereignisse im Nachhinein überdenke, komme ich zu dem Schluß, daß ich an die zwei Stunden"
"377","38","8","bewußtlos gewesen sein muß. Was mich wieder zur Besinnung brachte, war jenes scharfe metallische Klicken, das der Vorbote"
"378","38","9","meiner entsetzlichen Erfahrung gewesen war. Es war das Zurückklappen des Schnappschlosses. Ehe mein Kopf noch klar"
"379","38","10","genug war, alles aufzunehmen, wurde mir das runde, mildtätige Gesicht meines Vetters bewußt, das zur Tür hereinlugte. Was er"
"380","39","1",""sah, erstaunte ihn offenbar höchlichst. Die Katze kauerte auf dem Boden. Ich lag in Hemdsärmeln auf dem Rücken im Käfig","""
"381","39","2","meine Hose war in Fetzen gerissen, und eine Blutlache breitete sich um mich her aus. Ich sehe noch jetzt sein verblüfftes"
"382","39","3","Gesicht, von der Morgensonne beschienen. Er ließ seine Augen nicht von mir. Dann schloß er die Tür hinter sich und kam zum"
"383","39","4","Käfig, um zu sehen, ob ich wirklich tot sei. "
"384","39","5","Ich kann nicht beschreiben, was geschah. Ich war nicht in dem Zustand, ein solches Ereignis klar aufzunehmen. Ich kann nur"
"385","39","6","sagen, daß mir plötzlich bewußt wurde, daß mir sein Gesicht nicht mehr zugewendet war — daß er das Tier ansah. "
"386","39","7","»Guter, alter Tommy!« rief er. »Guter, alter Tommy!« "
"387","39","8","Dann kam er näher ans Gitter, immer noch mit dem Rücken zu mir. "
"388","39","9","»Sitz, du dummes Biest!« brüllte er. »Nieder mit dir. Kennst du deinen Herrn nicht mehr?« "
"389","39","10","Plötzlich kamen mir in meinem umnebelten Zustand die Worte in Erinnerung, mit denen er erklärte hatte, daß Blutgeschmack die"
"390","40","1","Katze wildmachen würde. Mein Blut hatte es bewirkt — er aber sollte den Preis zahlen."
"391","40","2","»Geh weg!« kreischte er. »Geh weg, du Teufel! Baldwin! Baldwin! Oh, mein Gott!« "
"392","40","3","Und dann hörte ich ihn fallen, und aufstehen, und wieder fallen, und es klang, wie wenn man Sackleinen zerreißt. Seine Schreie"
"393","40","4","wurden schwächer, bis sie sich in quälendem Knurren verloren. Und dann, als ich ihn für tot hielt, sah ich wie in einem Alptraum"
"394","40","5","eine geblendete, zerfetzte, blutgetränkte Gestalt rasend im Raum umherrennen — das war das letzte, was ich von ihm sah, ehe"
"395","40","6","ich wieder in Ohnmacht fiel."
"396","40","7","Es dauerte viele Monate, bis ich wiederhergestellt war. Ja, eigentlich kann ich nicht sagen, daß ich mich ganz erholt hätte, denn"
"397","40","8","bis ans Ende meiner Tage werde ich einen Stock benutzen müssen: Erinnerung an meine Nacht mit der brasilianischen Katze."
"398","40","9","Baldwin, der Stallbursche, und die anderen Bediensteten konnten nicht sagen, was vorgefallen war, als sie mich, von den"
"399","40","10","Todesschreien ihres Herrn herbeigerufen, hinter den Gitterstäben fanden und seine Überbleibsel — oder was sie später als seine"
"400","41","1","Überbleibsel identifizierten — in den Fängen des Geschöpfes, das er großgezogen hatte. Sie wehrten es mit heißen Eisen ab und"
"401","41","2","erschossen es hernach durch den Sehschlitz in der Tür, ehe sie mich endlich herausholen konnten. Ich wurde in mein Zimmer"
"402","41","3","getragen, und dort, unter dem Dach des Mannes, der mich ermorden wollte, schwebte ich etliche Wochen zwischen Leben und"
"403","41","4","Tod. Sie hatten einen Arzt aus Clipton und eine Krankenschwester aus London kommen lassen, und nach einem Monat konnte"
"404","41","5","man mich zum Bahnhof und nach Grosvenor Mansions bringen. "
"405","41","6","Etwas ist mir aus der Krankheitszeit im Gedächtnis haften geblieben, das Teil jenes ständig wechselnden Panoramas sein"
"406","41","7","könnte, wie ein phantasierendes Hirn es herbeizaubert, würde ich mich dieser Einzelheit nicht so genau erinnern. Eines Abends,"
"407","41","8","als die Schwester abwesend war, öffnete sich die Tür meines Zimmers, und eine große Frau in tiefer Trauer kam"
"408","41","9","hereingeschlüpft. Sie kam zu mir herüber, und als sie ihr gelbliches Gesicht neigte, sah ich im matten Schein des Nachtlichts, daß"
"409","41","10","es die Brasilianerin war, die mein Cousin geheiratet hatte. Sie sah mich intensiv an, und ihr Ausdruck war freundlicher, als ich’s je"
"410","42","1","erlebt hatte. "
"411","42","2","»Hören Sie mich?« fragte sie. "
"412","42","3","Ich nickte schwach. Sprechen konnte ich noch nicht. "
"413","42","4","»Nun denn. Ich wollte Ihnen nur sagen, daß Sie selber die Schuld tragen. Habe ich nicht für Sie getan, was ich konnte? Von"
"414","42","5","Anfang an habe ich versucht, Sie aus dem Hause zu treiben. Mit allen Mitteln — außer, meinen Mann zu verraten — habe ich"
"415","42","6","versucht, Sie vor ihm zu retten. Ich wußte, daß er einen Grund hatte, Sie hierher zu holen. Ich wußte, daß er Sie nicht wieder"
"416","42","7","fortlassen würde. Niemand kannte ihn so gut wie ich, die ich soviel von ihm zu leiden hatte. Ich wagte nicht, Ihnen das zu sagen."
"417","42","8","Er hätte mich umgebracht. Aber ich habe mein Bestes getan. So, wie alles gekommen ist, sind Sie der beste Freund gewesen,"
"418","42","9","den ich jemals hatte. Sie haben mir die Freiheit gegeben, und ich dachte, nur dem Tod würde das gelingen. Es tut mir leid, daß"
"419","42","10","Sie verletzt sind, aber ich kann mir keine Vorhaltungen machen. Ich habe Ihnen gesagt, daß Sie ein Narr seien — und ein Narr"
"420","43","1","waren Sie.« "
"421","43","2","Sie schlich sich aus dem Zimmer, eine verbitterte, einsame Frau, und ich sollte sie nie wiedersehen. Mit dem, was vom Eigentum"
"422","43","3","ihres Gatten blieb, ging sie in ihr Heimatland zurück, und ich habe gehört, daß sie in Pernambuco später den Schleier nahm. "
"423","43","4","Erst, als ich seit einiger Zeit in London war, erklärten die Ärzte mich für in der Lage, meinen Geschäften nachzugehen. Das war"
"424","43","5",""keine sehr willkommene Erlaubnis, denn ich fürchtete, es wäre das Signal für einen Ansturm von Gläubigern"," indessen war es""
"425","43","6","Summers, mein Anwalt, der als erster Gebrauch davon machte. "
"426","43","7","»Ich freue mich sehr, daß es Eurer Lordschaft so viel besser geht«, sagte er. »Ich warte seit langem, um meine Glückwünsche"
"427","43","8","übermitteln zu dürfen.« "
"428","43","9","»Was wollen Sie damit sagen, Summers? Für solche Späße ist’s nicht die rechte Zeit.« "
"429","43","10","»Es stimmt, was ich sage«, gab er zur Antwort. »Seit sechs Wochen seid Ihr Lord Southerton, doch fürchteten wir, es könnte Eure"
"430","44","1","Rekonvaleszenz verzögern, wenn Ihr es erführet.« "
"431","44","2","Lord Southerton! Einer der reichsten Peers Englands! Ich traute meinen Ohren nicht. Und dann dachte ich plötzlich an die Zeit,"
"432","44","3","die verstrichen war, und an den Zeitpunkt meiner Verwundung. "
"433","44","4","»Dann muß Lord Southerton gestorben sein, als ich verletzt wurde?« "
"434","44","5","»Sein Tod trat am gleichen Tage ein.« Summers sah mich scharf an, als er sprach, und ich bin überzeugt — denn er war ein"
"435","44","6","gerissener Bursche —, daß er den wahren Sachverhalt erraten hatte. Er wartete einen Augenblick, als erhoffe er ein"
"436","44","7","Eingeständnis von mir, aber ich sah keinen Grund, ihn in einen solchen Familienskandal einzuweihen. "
"437","44","8","»Ja, eine höchst merkwürdige Koinzidenz«, fuhr er mit dem gleichen wissenden Blick fort. »Natürlich ist Euch klar, daß Euer"
"438","44","9","Cousin Everard King sein nächstfolgender Erbe war. Nun, und wenn jetzt dieser Tiger — oder was es war — nicht ihn in Stücke"
"439","44","10","gerissen hätte, sondern Euch, dann wäre natürlich er in diesem Augenblick Lord Southerton.« "
"440","45","1","»Ohne Zweifel«, sagte ich. "
"441","45","2","»Und er war sehr daran interessiert«, sagte Summers. »Ich weiß zufällig, daß der Kammerdiener des abgeschiedenen Lord"
"442","45","3","Southerton in seinem Solde stand und daß er alle paar Stunden ein Telegramm von ihm bekam, das ihm den Stand der Dinge"
"443","45","4","anzeigte. Das muß zu der Zeit gewesen sein, da Ihr dort wart. Ist’s nicht merkwürdig, daß er so gut informiert zu sein wünschte,"
"444","45","5","da er doch wußte, daß er gar nicht der direkte Erbe war?«"
"445","45","6","»Sehr merkwürdig«, sagte ich. »Und jetzt, Summers, bringen Sie mir bitte meine Rechnungen und ein neues Scheckbuch, damit"
"446","45","7","wir anfangen können, Ordnung zu schaffen.«"
"447","46","1",""Vielen Dank für deine Teilnahme. Du bekommst jetzt noch einen kleinen Fragebogen. Drücke ""s"". ""
""
